text,label,source,original_liar_label,pred,proba_fake,model_conf
obamacare will use your tax dollars to provide free viagra to convicted rapists and registered sex offenders,0,LIAR,half-true,1,0.9996275691589158,0.9996275691589158
the bush administration prosecuted 190 suspected terrorists in federal courts,1,LIAR,barely-true,0,0.001124146413343456,0.9988758535866565
this guy didnt even support ronald reagan,0,LIAR,true,1,0.9961614292245446,0.9961614292245446
says florida didnt offer special incentives to deutsche bank which announced it will add 300 jobs in florida,1,LIAR,pants-fire,0,0.004284781177129013,0.995715218822871
joe garcia raised utility rates on families,1,LIAR,false,0,0.007741093361738869,0.9922589066382611
providences port is 200 miles closer to europe than any other eastern port,1,LIAR,false,0,0.008309843871397575,0.9916901561286025
the christian coalition gave adam hasner an f,0,LIAR,half-true,1,0.9910198509417267,0.9910198509417267
on donald trumps track record in business,1,LIAR,false,0,0.009519815470614675,0.9904801845293854
the video doesnt show the broader picture of the firing that was going on at american troops,0,LIAR,mostly-true,1,0.9891002592951451,0.9891002592951451
beer drinking is not allowed in any illinois state parks,1,LIAR,false,0,0.010940621482608551,0.9890593785173915
i differed with my party on business legislation on consumer protection and on free trade agreements,1,LIAR,false,0,0.011148206626043662,0.9888517933739563
the stimulus includes 219000 to study the sex lives of female college freshmen,0,LIAR,half-true,1,0.9877816422392977,0.9877816422392977
says the federal government borrows almost 60 billion per week,1,LIAR,false,0,0.012477183779140087,0.9875228162208599
rob cornilles has disputed for two years a news story that said he said he would cut social security and medicare programs before trimming the us defense budget,1,LIAR,barely-true,0,0.012818785278814155,0.9871812147211858
as a us senator with salary and perks bernie is in the top 1 percent but still paid only 13 percent in taxes last year,1,LIAR,barely-true,0,0.01615201418150453,0.9838479858184954
says thom tillis refuses to say what we should do to combat isis,0,LIAR,mostly-true,1,0.9837408186810005,0.9837408186810005
says bruce starr broke the law by letting lobbyists wine and dine him in maui,1,LIAR,false,0,0.016638557373407383,0.9833614426265926
when social security started age expectancy for the average man was 58 it was 62 62 for women,0,LIAR,true,1,0.9828013585608321,0.9828013585608321
the arc tunnel project was originally estimated to be 87 billion and new jersey alone was on the hook for all overruns,0,LIAR,true,1,0.9803470491741555,0.9803470491741555
the us army had a training program that put evangelical christians catholics and mormons in the same category of religious extremism as we do alqaida,1,LIAR,barely-true,0,0.019783707645933343,0.9802162923540667
its common knowledge that alqaida is receiving training from iran,1,LIAR,false,0,0.021579152924725564,0.9784208470752744
says charlie crist was prolife progun and vehemently antitax,0,LIAR,mostly-true,1,0.9773778800555698,0.9773778800555698
fleeing syria a million children are now refugees,0,LIAR,true,1,0.9772224359885995,0.9772224359885995
john mccain says he never supported the privatization of social security even though video shows he did,0,LIAR,half-true,1,0.9744505332042175,0.9744505332042175
gov romney was very clear he would veto the dream act,0,LIAR,true,1,0.9728283883846403,0.9728283883846403
in the 2014 elections the american people overwhelmingly said we dont want obamacare and we dont want amnesty,1,LIAR,false,0,0.02846584229091564,0.9715341577090844
not even old gen eisenhower saluted military personnel as president,1,LIAR,barely-true,0,0.028747758673196795,0.9712522413268032
ryan sittons company accepted over 650000 in obama stimulus dollars,1,LIAR,false,0,0.0303442596936459,0.9696557403063542
the war spending bill actually spends more money on the international monetary fund than on the war,1,LIAR,barely-true,0,0.0309267246936764,0.9690732753063236
as a senator hillary clinton actually paid female staffers a lot less than men,1,LIAR,barely-true,0,0.031178496852963675,0.9688215031470363
what difference at this point does it make i am the guy that got under her skin and provoked that infamous response from hillary clinton by asking a pretty simple question why didnt you just pick up the phone and call the survivors of the benghazi attack,0,LIAR,mostly-true,1,0.968462836013352,0.968462836013352
says rep tom reed rny voted to raise the social security retirement age on us,0,LIAR,half-true,1,0.9683787625565099,0.9683787625565099
gonzales losing campaign against me last spring was funded with more than 1 million from supporters and allies of governor bruce rauner,1,LIAR,barely-true,0,0.032238913418073806,0.9677610865819262
says a youtube video shows thomas dimassimo the man who rushed trump at an ohio rally dragging the american flag on the ground like it was a piece of garbage,0,LIAR,true,1,0.9669765221534572,0.9669765221534572
says hillary clinton lied about why her parents named her hillary,0,LIAR,half-true,1,0.9664889458554892,0.9664889458554892
says rick perry doubled spending in a decade,1,LIAR,barely-true,0,0.0337111297982689,0.9662888702017312
i have never said that i dont wear flag pins or refuse to wear flag pins,1,LIAR,false,0,0.03478850818740576,0.9652114918125942
says daniel webster used taxpayer funds to build a lobbyist lounge,1,LIAR,barely-true,0,0.034974005898462425,0.9650259941015376
russia has more diversity in its governmental representation than we do in texas,1,LIAR,barely-true,0,0.03688729668500039,0.9631127033149997
of course there is large scale voter fraud happening on and before election day,1,LIAR,pants-fire,0,0.038328747519782665,0.9616712524802173
barack obama loves che guevara,1,LIAR,pants-fire,0,0.038400857405505105,0.9615991425944949
